ID,family,genus,species,stateProvince,decimalLatitude,decimalLongitude
463,Felidae,Puma,Puma concolor,Chiapas,15.426667,-92.488333
331,Felidae,Puma,Puma concolor,Chiapas,15.654227,-92.811905
61,Felidae,Puma,Puma concolor,Chiapas,15.657169,-92.808725
326,Felidae,Puma,Puma concolor,Chiapas,15.695103,-92.965794
462,Felidae,Puma,Puma concolor,Chiapas,15.733333,-92.933333
518,Felidae,Puma,Puma concolor,Chiapas,15.771558,-92.890091
41,Felidae,Puma,Puma concolor,Chiapas,15.831871,-93.034295
500,Felidae,Puma,Puma concolor,Chiapas,15.877511,-92.997111
471,Felidae,Puma,Puma concolor,Chiapas,16.043454,-93.478149
489,Felidae,Puma,Puma concolor,Chiapas,16.056195,-93.477916
482,Felidae,Puma,Puma concolor,Chiapas,16.06705,-93.462971
751,Felidae,Puma,Puma concolor,Chiapas,16.122067,-90.941183
752,Felidae,Puma,Puma concolor,Chiapas,16.122067,-90.941183
470,Felidae,Puma,Puma concolor,Chiapas,16.145796,-93.443292
754,Felidae,Puma,Puma concolor,Chiapas,16.146339,-90.893047
509,Felidae,Puma,Puma concolor,Chiapas,16.174699,-93.62029
510,Felidae,Puma,Puma concolor,Chiapas,16.175049,-93.622543
506,Felidae,Puma,Puma concolor,Chiapas,16.175688,-93.623375
503,Felidae,Puma,Puma concolor,Chiapas,16.175949,-93.623359
152,Felidae,Puma,Puma concolor,Chiapas,16.212514,-90.8251
50,Felidae,Puma,Puma concolor,Chiapas,16.334634,-91.028579
128,Felidae,Puma,Puma concolor,Chiapas,16.767653,-90.945812
344,Felidae,Puma,Puma concolor,Chiapas,16.789089,-90.816826
387,Felidae,Puma,Puma concolor,Chiapas,16.845954,-90.988154
374,Felidae,Puma,Puma concolor,Chiapas,16.883787,-90.98359
220,Felidae,Puma,Puma concolor,Oaxaca,16.91013,-95.76497
221,Felidae,Puma,Puma concolor,Oaxaca,16.91267,-95.75072
189,Felidae,Puma,Puma concolor,Oaxaca,16.91608,-95.76804
247,Felidae,Puma,Puma concolor,Oaxaca,16.91608,-95.76804
250,Felidae,Puma,Puma concolor,Oaxaca,16.91608,-95.76804
262,Felidae,Puma,Puma concolor,Oaxaca,16.91792,-95.78051
475,Felidae,Puma,Puma concolor,Oaxaca,16.976893,-96.384938
495,Felidae,Puma,Puma concolor,Chiapas,16.999429,-93.666676
508,Felidae,Puma,Puma concolor,Chiapas,16.999994,-93.6448
354,Felidae,Puma,Puma concolor,Chiapas,17,-93.666667
507,Felidae,Puma,Puma concolor,Chiapas,17.011977,-93.677459
505,Felidae,Puma,Puma concolor,Chiapas,17.041358,-93.718357
473,Felidae,Puma,Puma concolor,Oaxaca,17.101607,-96.547536
468,Felidae,Puma,Puma concolor,Oaxaca,17.101848,-96.547293
248,Felidae,Puma,Puma concolor,Oaxaca,17.12144,-95.85912
257,Felidae,Puma,Puma concolor,Oaxaca,17.12144,-95.85912
212,Felidae,Puma,Puma concolor,Oaxaca,17.12954,-95.8225
238,Felidae,Puma,Puma concolor,Oaxaca,17.12954,-95.8225
258,Felidae,Puma,Puma concolor,Oaxaca,17.12954,-95.8225
690,Felidae,Puma,Puma concolor,Oaxaca,17.14686,-96.64678
654,Felidae,Puma,Puma concolor,Oaxaca,17.146861,-96.646778
